"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year"
"3.9 2016","Spain","Pla de Bages","Abadal",4.1,178,17.06,"2016"
"4 20 Montepulciano d'Abruzzo 2018","Italy","Montepulciano d'Abruzzo","Torri",3.8,121,8.9,"2018"
"4 Amis Langhe Rosso 2013","Italy","Langhe","Elio Filippino",3.7,26,12.7,"2013"
"4 Kilos 2017","Spain","Mallorca","4 Kilos Vinícola",3.8,51,29.99,"2017"
"4 Meses Red 2017","Spain","La Mancha","Volver",3.7,130,8.38,"2017"
"4 Varietales Colección Rioja 2016","Spain","Rioja","Vivanco",3.8,71,41.28,"2016"
"43° Toscana Rosso 2016","Italy","Toscana","Tenute Silvio Nardi",3.5,29,9.65,"2016"
"4m 2017","Spain","Rioja Alta","Tarón",3.4,47,7.02,"2017"
"5 Finques (Fincas) Reserva 2015","Spain","Empordà","Castillo Perelada",4,2390,13.45,"2015"
"5 Finques (Fincas) Reserva 2016","Spain","Empordà","Castillo Perelada",4,148,13.85,"2016"
"5 Merlot 2016","Spain","Pla de Bages","Abadal",3.9,186,12.9,"2016"
"5 Stelle Sfursat 2016","Italy","Valtellina","Nino Negri",4.5,315,38.89,"2016"
"5 Vignes Barbera d'Asti 2017","Italy","Barbera d'Asti","La Morandina",3.6,46,9.5,"2017"
"50 & 50 2013","Italy","Toscana","Capannelle",4.4,1081,112,"2013"
"50 & 50 2014","Italy","Toscana","Capannelle",4.3,126,95.7,"2014"
"56 Hundred Cabernet Sauvignon 2018","South Africa","Coastal Region","Nederburg",3.7,528,6.31,"2018"
"57 Gran Reserva 2012","Spain","Rioja","Campillo",4.1,53,38.79,"2012"
"5º Tinto 2016","Spain","Tierra de León","Lar de Maía",3.8,68,13.45,"2016"
"5TA Generacion Gran Reserva Cabernet Sauvignon 2013","Argentina","San Rafael","Goyenechea",3.5,145,16.29,"2013"
"6 Meses Roble Tempranillo 2017","Spain","La Mancha","Finca La Estacada",3.6,741,7.42,"2017"
"6 Meses Roble Tempranillo 2018","Spain","La Mancha","Finca La Estacada",3.6,155,7.36,"2018"
"60 Sessantanni Old Vines Primitivo di Manduria 2015","Italy","Primitivo di Manduria","San Marzano",4.5,14148,30.95,"2015"
