"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year"
"Diamond Collection Syrah - Shiraz (Green Label) 2017","United States","Napa Valley","Francis Ford Coppola",4,74,19.95,"2017"
"Diamond Collection Zinfandel (Red Label) 2016","United States","Napa Valley","Francis Ford Coppola",3.9,1078,21.39,"2016"
"Diamond Collection Zinfandel (Red Label) 2017","United States","Napa Valley","Francis Ford Coppola",3.7,387,18.5,"2017"
"Diamond Collection/Selection Shiraz 2019","Australia","South Eastern Australia","Rosemount",3.7,128,5.95,"2019"
"Diamond Label Shiraz 2017","Australia","South Australia","Rosemount",3.4,669,9.26,"2017"
"Diamond Label Shiraz 2018","Australia","South Australia","Rosemount",3.2,235,9.4,"2018"
"Diciotto Primitivo 2015","Italy","Salento","Schola Sarmenti",4.4,56,48.72,"2015"
"Diciotto Primitivo 2016","Italy","Salento","Schola Sarmenti",4.5,86,42.27,"2016"
"Dicker Franz Blaufränkisch 2012","Germany","Baden","Burg Ravensburg",4.1,42,31.09,"2012"
"Die Versuchung Rot 2017","Austria","Niederösterreich","Weingut Krug",4,48,29.28,"2017"
"Diesel Pinotage 2017","South Africa","Stellenbosch","Beyerskloof",4.7,35,63,"2017"
"Dievole Maestro di Cava 2016","Italy","Bolgheri Superiore","Tenuta Meraviglia",4.3,59,59,"2016"
"Dimonios Riserva Cannonau di Sardegna 2016","Italy","Cannonau di Sardegna","Sella & Mosca",3.8,68,13.57,"2016"
"Director's Cabernet Sauvignon 2016","United States","Sonoma County","Francis Ford Coppola",3.8,63,22.5,"2016"
"Director's Cut Cabernet Sauvignon 2016","United States","Alexander Valley","Francis Ford Coppola",4,1918,29.9,"2016"
"Director's Cut Cabernet Sauvignon 2017","United States","Alexander Valley","Francis Ford Coppola",3.9,307,36.83,"2017"
"Director's Cut Pinot Noir 2017","United States","Russian River Valley","Francis Ford Coppola",3.8,328,36.83,"2017"
"Director's Cut Shiraz 2016","Australia","Langhorne Creek","Heartland",4.2,334,23.99,"2016"
"Director's Cut Zinfandel 2014","United States","Dry Creek Valley","Francis Ford Coppola",4,1578,33.25,"2014"
"Director's Cut Zinfandel 2015","United States","Dry Creek Valley","Francis Ford Coppola",4.1,1110,32.5,"2015"
"Director's Cut Zinfandel 2017","United States","Dry Creek Valley","Francis Ford Coppola",4.2,44,28.5,"2017"
"Director's Merlot 2012","United States","Sonoma County","Francis Ford Coppola",3.8,207,25.9,"2012"
"Director's Reserve Red 2017","South Africa","Stellenbosch","Tokara",4.1,86,33.9,"2017"
"Disciples 2016","United States","Napa Valley","The Crane Assembly",4.3,1014,53.61,"2016"
"Disciples 2017","United States","Napa Valley","The Crane Assembly",4.2,172,53.61,"2017"
"Discover Pinotage - Shiraz 2018","South Africa","Western Cape","Spier",3.7,735,5.5,"2018"
"Disueri Nero d'Avola 2017","Italy","Sicilia","Cusumano",3.7,71,6.58,"2017"
"Disueri Nero d'Avola 2018","Italy","Sicilia","Cusumano",3.6,106,7.7,"2018"
"Dits del Terra 2016","Spain","Priorat","Terroir Al Límit Soc. Lda",4.2,87,60,"2016"
"Divinum Grenache - Merlot 2013","France","Pays d'Oc","Vignerons Catalans",3.6,77,4.95,"2013"
"Doix 2014","Spain","Priorat","Mas Doix",4.4,91,83.06,"2014"
"Doix 2015","Spain","Priorat","Mas Doix",4.3,68,77.88,"2015"
"Dolcetto d'Acqui 2018","Italy","Dolcetto d'Acqui","Tenimenti Ca'Bianca",3.1,43,6.75,"2018"
"Dolcetto d'Alba 2013","Italy","Dolcetto d'Alba","Giacomo Fenocchio",3.5,67,9.6,"2013"
"Dolcetto d'Alba 2013","Italy","Dolcetto d'Alba","Piazzo",2.7,36,9.12,"2013"
"Dolcetto d'Alba 2016","Italy","Dolcetto d'Alba","Elio Altare",3.6,224,14.36,"2016"
"Dolcetto d'Alba 2017","Italy","Dolcetto d'Alba","Borgogno",3.8,120,13.95,"2017"
"Dolcetto d'Alba 2017","Italy","Dolcetto d'Alba","Enzo Boglietti",3.7,48,15.5,"2017"
"Dolcetto d'Alba 2017","Italy","Dolcetto d'Alba","G.D. Vajra",3.8,740,12.62,"2017"
"Dolcetto d'Alba 2018","Italy","Dolcetto d'Alba","Cordero di Montezemolo",3.9,148,14.54,"2018"
"Dolcetto d'Alba 2018","Italy","Dolcetto d'Alba","E. Pira & Figli",3.8,64,17.36,"2018"
"Dolcetto d'Alba 2018","Italy","Dolcetto d'Alba","Fontanafredda",3.6,206,7.08,"2018"
"Dolcetto d'Alba 2018","Italy","Dolcetto d'Alba","G.D. Vajra",3.8,423,12.62,"2018"
"Dolcetto d'Alba 2018","Italy","Dolcetto d'Alba","Scanavino",3.5,36,6.99,"2018"
"Dolcetto d'Alba Bricco di Vergne 2018","Italy","Dolcetto d'Alba","Batasiolo",3.6,44,11.5,"2018"
"Dolcetto d'Alba Colombé 2018","Italy","Dolcetto d'Alba","Renato Ratti",3.6,200,10.9,"2018"
"Dolcetto d'Alba Le Campanelle 2014","Italy","Dolcetto d'Alba","Broccardo",3.5,27,8.4,"2014"
"Dolcetto d'Alba Nirane 2018","Italy","Dolcetto d'Alba","Ascheri",3.5,78,13.76,"2018"
"Dolcetto D'Alba Rossana 2018","Italy","Dolcetto d'Alba","Ceretto",3.7,49,16.48,"2018"
"Dolcetto d'Alba Tre Vigne 2018","Italy","Dolcetto d'Alba","Vietti",3.7,161,14.25,"2018"
"Dolcetto d'Alba Treiso 2017","Italy","Dolcetto d'Alba","Fontanafredda",3.5,210,10.93,"2017"
"Dolcetto d’Alba 2017","Italy","Piemonte","Bruno Giacosa",3.8,329,15.42,"2017"
"Dolcetto d’Alba Bossèt (Boschetti/Buschet) 2014","Italy","Dolcetto d'Alba","Marchesi di Barolo",3.7,98,17.9,"2014"
"Dolcetto d’Alba dei Grassi 2016","Italy","Dolcetto d'Alba","Elio Grasso",3.7,248,17.79,"2016"
"Dolcetto d’Alba dei Grassi 2017","Italy","Dolcetto d'Alba","Elio Grasso",3.9,192,16.62,"2017"
"Dolcetto d’Alba dei Grassi 2018","Italy","Dolcetto d'Alba","Elio Grasso",3.3,76,16.95,"2018"
"Dolomite Cabernet Franc 2017","South Africa","Stellenbosch","Raats",3.8,218,14.5,"2017"
"Domaine Ceptura Rouge 2015","Romania","Dealu Mare","Davino",4,182,26.9,"2015"
"Domaine de Bila-Haut Occultum Lapidem 2017","France","Côtes du Roussillon Villages 'Latour de France'","M. Chapoutier",3.9,229,17.5,"2017"
"Domaine de Cassaigne Le Labyrinthe Côtes de Gascogne 2017","France","Côtes de Gascogne","Plaimont",3.5,27,5.62,"2017"
"Domaine De Cigalus Red 2018","France","Vin de Pays","Gérard Bertrand",4.1,124,32.75,"2018"
"Domaine de Cocol Côtes-du-Rhône 2016","France","Côtes-du-Rhône","Pellerin",3.6,27,8.99,"2016"
"Domaine de la Madone Beaujolais Le Perréon 2018","France","Beaujolais","Jean-Marc Despres",3.7,109,8.67,"2018"
"Domaine de la Madone Fleurie 2017","France","Fleurie","Jean-Marc Despres",3.4,40,11.43,"2017"
"Domaine de Peyrat Grande Réserve 2018","France","Pays d'Oc","Seigneurie de Peyrat",3.4,26,8.68,"2018"
"Domaine de Saint Pierre Cornas 2015","France","Cornas","Paul Jaboulet Aîné",4,45,74.3,"2015"
"Domaine de Saint Pierre Cornas 2016","France","Cornas","Paul Jaboulet Aîné",4,32,81.58,"2016"
"Domaine de Valmoissine Pinot Noir 2016","France","Var","Louis Latour",3.8,1498,11.89,"2016"
"Domaine des Grands Chemins Crozes-Hermitage 2015","France","Crozes-Hermitage","Delas",4,303,25.24,"2015"
"Domaine des Grands Chemins Crozes-Hermitage 2016","France","Crozes-Hermitage","Delas",3.8,364,28.18,"2016"
"Domaine des Hospice de Belleville Brouilly 2016","France","Brouilly","Joseph Drouhin",3.6,89,15.39,"2016"
"Domaine des Pierrelles Côte Rôtie 2015","France","Côte-Rôtie","Paul Jaboulet Aîné",4.3,37,83.15,"2015"
"Domaine des Tourettes Hermitage Rouge 2014","France","Hermitage","Delas",4.2,210,60.92,"2014"
"Domaine des Tourettes Hermitage Rouge 2016","France","Hermitage","Delas",4.4,87,63.36,"2016"
"Domaine des Tourettes Hermitage Rouge 2017","France","Hermitage","Delas",4.2,26,93.45,"2017"
"Domaine du Clos des Tourelles Gigondas 2015","France","Gigondas","Famille Perrin",4.2,181,46.79,"2015"
"Domaine Grand Veneur Châteauneuf-du-Pape 'Le Miocène' 2017","France","Châteauneuf-du-Pape","Alain Jaume",3.9,48,28.76,"2017"
"Domaine Grand Veneur Châteauneuf-Du-Pape Les Origines 2015","France","Châteauneuf-du-Pape","Alain Jaume",3.9,35,53.52,"2015"
"Domaine Grand Veneur Côtes du Rhône Les Champauvins 2017","France","Côtes-du-Rhône","Alain Jaume",3.9,422,9.7,"2017"
"Domaine Latour Aloxe-Corton 2014","France","Aloxe-Corton","Louis Latour",4.1,176,42.89,"2014"
"Domini Douro 2018","Portugal","Douro","José Maria da Fonseca",3.5,41,12.52,"2018"
"Domini Plus Douro 2015","Portugal","Douro","José Maria da Fonseca",3.8,80,49.63,"2015"
"Dominio de Fontana Garnacha - Syrah 2017","Spain","Uclés","Bodegas Fontana",3.6,111,7.36,"2017"
"Dominio de Fontana Roble Tempranillo - Syrah 2017","Spain","Castilla","Bodegas Fontana",3.8,168,7.32,"2017"
"Dominio de Fontana Roble Tempranillo - Syrah 2018","Spain","Castilla","Bodegas Fontana",3.8,55,7.36,"2018"
"Dominio de Fontana Tempranillo - Graciano 2013","Spain","Castilla","Bodegas Fontana",3.7,77,11.02,"2013"
"Dominus (Christian Moueix) 2014","United States","Napa Valley","Dominus",4.6,579,275,"2014"
"Dominus (Christian Moueix) 2016","United States","Napa Valley","Dominus",4.5,245,355.8,"2016"
"Don Antonio Nero d'Avola (Riserva) 2016","Italy","Sicilia","Morgante",4.2,111,25.9,"2016"
"Don Camillo Sangiovese 2017","Italy","Terre di Chieti","Farnese",3.8,49,8.9,"2017"
"Don Camillo Sangiovese 2018","Italy","Terre di Chieti","Farnese",3.7,31,8.89,"2018"
"Don Cosimo Primitivo 2018","Italy","Salento","Cantine due Palme",3.8,231,6.99,"2018"
"Don David Reserve Tannat 2018","Argentina","Cafayate Valley","El Esteco",3.7,178,11.9,"2018"
"Don Dona' Molise Rosso 2013","Italy","Molise","Cantine Salvatore",3.8,32,16.9,"2013"
"Don Dona' Molise Rosso 2014","Italy","Molise","Cantine Salvatore",3.9,30,16.9,"2014"
"Don Luigi Riserva 2015","Italy","Molise","Di Majo Norante",4.2,47,19.9,"2015"
"Don Maximiano Founder's Reserve 1997","Chile","Aconcagua Valley","Errazuriz",4.5,40,78.49,"1997"
"Don Maximiano Founder's Reserve 1999","Chile","Aconcagua Valley","Errazuriz",4.3,83,84.09,"1999"
"Don Maximiano Founder's Reserve 2011","Chile","Aconcagua Valley","Errazuriz",4.4,887,77.01,"2011"
"Don Maximiano Founder's Reserve 2014","Chile","Aconcagua Valley","Errazuriz",4.5,1608,67.26,"2014"
"Don Maximiano Founder's Reserve 2015","Chile","Aconcagua Valley","Errazuriz",4.4,1106,83.6,"2015"
"Don Maximiano Founder's Reserve 2016","Chile","Aconcagua Valley","Errazuriz",4.3,616,83.6,"2016"
"Don Maximiano Founder's Reserve 2017","Chile","Aconcagua Valley","Errazuriz",4.3,63,67.26,"2017"
"Don Mendoza Reserve Malbec 2017","Argentina","Uco Valley","Finca La Celia",3.4,300,11.65,"2017"
"Don Mendoza Reserve Malbec 2018","Argentina","Uco Valley","Finca La Celia",3.4,259,11.65,"2018"
"Don Miguel Vineyard La Masía Pinot Noir 2016","United States","Russian River Valley","Marimar Estate",4.1,79,54.5,"2016"
"Don Tommaso Chianti Classico 2013","Italy","Chianti Classico","Principe Corsini",4.1,84,63,"2013"
"Don Tommaso Chianti Classico 2015","Italy","Chianti Classico","Principe Corsini",3.9,136,18.49,"2015"
"Doña Margarita Vineyard Mas Cavalls Pinot Noir 2013","United States","Sonoma Coast","Marimar Estate",4.2,964,54.73,"2013"
"Doña Margarita Vineyard Mas Cavalls Pinot Noir 2016","United States","Sonoma Coast","Marimar Estate",4.2,139,56.4,"2016"
"Donzel Reserva Tinto 2007","Portugal","Douro","Vinhas da Ciderma",3.6,189,11.45,"2007"
"Dornenvogel Zweigelt 2017","Austria","Carnuntum","Glatzer",3.7,80,12.87,"2017"
"Dornfelder 2017","Germany","Pfalz","Thorsten Krieger",3.2,37,8.32,"2017"
"Dornfelder 2018","Germany","Rheinhessen","P. J. Valckenberg",3.7,40,6.4,"2018"
"Dornfelder Halbtrocken 2017","Germany","Saale-Unstrut","Winzervereinigung Freyburg-Unstrut",3.5,27,8.21,"2017"
"Dornfelder Trocken 2016","Germany","Pfalz","Anselmann",3.6,60,12.19,"2016"
"Dornfelder Trocken 2018","Germany","Saale-Unstrut","Winzervereinigung Freyburg-Unstrut",3.2,27,7.41,"2018"
"Douro Batuta Tinto 2013","Portugal","Douro","Niepoort",4.3,705,56,"2013"
"Douro Batuta Tinto 2016","Portugal","Douro","Niepoort",4.2,260,60.31,"2016"
"Douro Bioma Tinto 2013","Portugal","Douro","Niepoort",3.8,166,22.59,"2013"
"Douro Charme Tinto 2006","Portugal","Douro","Niepoort",4.1,29,72.59,"2006"
"Douro Charme Tinto 2016","Portugal","Douro","Niepoort",4.2,263,67.36,"2016"
"Douro Fabelhaft Tinto 2016","Portugal","Douro","Niepoort",3.7,1597,9.7,"2016"
"Douro Fabelhaft Tinto 2017","Portugal","Douro","Niepoort",3.8,1835,9.7,"2017"
"Douro Fabelhaft Tinto 2018","Portugal","Douro","Niepoort",3.6,453,8.95,"2018"
"Douro Grande Reserva 2015","Portugal","Douro","Quinta do Pégo",3.8,94,16.09,"2015"
"Douro Omlet Tinto 2009","Portugal","Douro","Niepoort",3.8,63,40.85,"2009"
"Douro Redoma Tinto 2005","Portugal","Douro","Niepoort",4.1,98,34.07,"2005"
"Douro Redoma Tinto 2011","Portugal","Douro","Niepoort",4,461,34.89,"2011"
"Douro Redoma Tinto 2014","Portugal","Douro","Niepoort",4,617,29.9,"2014"
"Douro Redoma Tinto 2015","Portugal","Douro","Niepoort",4.1,642,33.2,"2015"
"Douro Redoma Tinto 2017","Portugal","Douro","Niepoort",4.2,288,31.57,"2017"
"Douro Reserva 2015","Portugal","Douro","Quinta das Tecedeiras",4.2,571,53.9,"2015"
"Douro Reserva Cerro Do Santo 2013","Portugal","Douro","Rozès",3.7,257,9.65,"2013"
"Douro Reserva Fabelhaft 2015","Portugal","Douro","Niepoort",3.6,49,14.84,"2015"
"Douro Reserva Red 2016","Portugal","Douro","Quinta do Portal",4,1169,21.05,"2016"
"Douro Tinto (Colheita Unoaked) 2017","Portugal","Douro","Quinta Nova de Nossa Senhora do Carmo",3.9,280,9.75,"2017"
"Douro Tinto 2014","Portugal","Douro","Vale D. Maria",4.2,480,45,"2014"
"Douro Tinto 2015","Portugal","Douro","Vale D. Maria",4.4,331,49.02,"2015"
"Douro Tinto 2017","Portugal","Douro","Lavradores de Feitoria",3.4,388,6.77,"2017"
"Douro Tinto 2018","Portugal","Douro","Casal Garcia",3.7,1311,4.89,"2018"
"Douro Vertente Tinto 2016","Portugal","Douro","Niepoort",3.8,737,17.5,"2016"
"Draco Chianti Colli Senesi Riserva 2016","Italy","Chianti Colli Senesi","Il Palagione",4.1,56,15.6,"2016"
"Dragon Tree Cabernet Sauvignon - Shiraz - Pinotage 2017","South Africa","Western Cape","Flagstone",3.8,40,11.95,"2017"
"Dragone Rosso 2016","Italy","Calabria","Lento",3.8,123,13.42,"2016"
"Driopi Classic Agiorgitiko Nemea 2017","Greece","Nemea","Κτημα Τσελεπου (Ktima Tselepos)",3.7,107,11.5,"2017"
"Dròmos 2011","Italy","Maremma Toscana","Poggio Verrano",4,38,37.97,"2011"
"Dry Aged 2015","Germany","Pfalz","Weingut Metzger",4.2,60,33.14,"2015"
"Duas Quintas Tinto 2017","Portugal","Douro","Ramos Pinto",3.9,379,10.63,"2017"
"Duca del Salento Primitivo 2018","Italy","Salento","San Donaci",3.7,50,6,"2018"
"Duca Sanfelice Cirò Classico Superiore Riserva Rosso 2015","Italy","Cirò","Librandi",3.6,309,10.9,"2015"
"Due Lune Nerello Mascalese - Nero d'Avola 2017","Italy","Terre Siciliane","Cellaro",4.2,654,15.89,"2017"
"Due Rosso 2017","Italy","Veneto","Giannitessari",4,129,9.5,"2017"
"Duelecci Est Riserva Brunello di Montalcino (Duelecci Ovest) 2013","Italy","Brunello di Montalcino","Tenuta di Sesta",4.1,28,57.51,"2013"
"Duet 2017","Slovenia","Goriška Brda","Edi Simčič",4.2,35,19.99,"2017"
"Dule Cannonau di Sardegna Classico 2014","Italy","Cannonau di Sardegna","Gabbas",4,165,17.45,"2014"
"Duluc de Branaire-Ducru Saint-Julien (Chateau Duluc) 2011","France","Saint-Julien","Château Branaire-Ducru",3.9,773,41.26,"2011"
"Duluc de Branaire-Ducru Saint-Julien (Chateau Duluc) 2014","France","Saint-Julien","Château Branaire-Ducru",4.1,487,36.06,"2014"
"Durif 2017","Australia","Riverina","Three Bridges",4,243,25.45,"2017"
"È Arte Primitivo 2018","Italy","Puglia","Torrevento",4,25,5.9,"2018"
"Eagle Peak Merlot 2015","United States","California","Fetzer",3.3,405,10.69,"2015"
"Eagle Peak Merlot 2016","United States","California","Fetzer",3.5,323,8.9,"2016"
"Eagle Peak Merlot 2017","United States","California","Fetzer",3.5,97,8.95,"2017"
"Eaglehawk Shiraz 2018","Australia","South Eastern Australia","Wolf Blass",3.3,266,7.22,"2018"
"Earthquake Petite Sirah 2016","United States","Lodi","Michael David Winery",3.8,168,26.27,"2016"
"Earthquake Zinfandel 2015","United States","Lodi","Michael David Winery",4.1,1649,26.22,"2015"
"Ebbio Nebbiolo Langhe 2017","Italy","Langhe","Fontanafredda",3.6,1440,14.79,"2017"
"Ebbio Nebbiolo Langhe 2018","Italy","Langhe","Fontanafredda",3.5,1318,14.21,"2018"
"Echevin Guillaume de Rouville Rouge 2017","France","Côtes-du-Rhône-Villages 'Saint-Maurice'","Domaine La Florane",3.9,38,15.5,"2017"
"Echezeaux Grand Cru 2013","France","Échezeaux Grand Cru","Domaine des Perdrix",4.3,64,208.2,"2013"
"Echézeaux Grand Cru 2013","France","Échezeaux Grand Cru","Louis Jadot - Domaine Gagey",4.2,41,222.13,"2013"
"Echo de Lynch-Bages Pauillac 2016","France","Pauillac","Château Lynch-Bages",4.1,195,72.4,"2016"
"Edelgrund Blaufrankisch 2018","Austria","Burgenland","Paul Achs",3.6,61,12.87,"2018"
"Edição Especial Tinto 2015","Portugal","Dão","Cabriz",4.2,43,16.48,"2015"
"Edición Fábulas Tempranillo 2016","Spain","Rioja","Larchago",3.6,25,11.02,"2016"
"Edición Fábulas Tempranillo 2018","Spain","Rioja","Larchago",3.3,64,7.9,"2018"
"Edición Limitada 2014","Spain","Rioja","Ramón Bilbao",4,1690,13.95,"2014"
"Edición Limitada 2016","Spain","Rioja","Ramón Bilbao",4,591,10.38,"2016"
"Edición Limitada A 2015","Chile","Colchagua Valley","Caliterra",3.9,95,15.98,"2015"
"Edición Limitada A 2016","Chile","Colchagua Valley","Caliterra",4.1,128,16.5,"2016"
"Edición Limitada B 2016","Chile","Colchagua Valley","Caliterra",4,85,15.78,"2016"
"Edición Limitada M 2015","Chile","Colchagua Valley","Caliterra",3.9,155,16.27,"2015"
"Edición Limitada M 2016","Chile","Colchagua Valley","Caliterra",4.1,127,14.57,"2016"
"Edizione Cinque Autoctoni 2016","Italy","Abruzzo","Farnese",4.3,3685,21.89,"2016"
"Edizione Cinque Autoctoni 2017","Italy","Abruzzo","Farnese",4.3,978,18.38,"2017"
"Eichberg Spätburgunder GG 2015","Germany","Baden","Franz Keller",4,44,49,"2015"
"Eichberg Spätburgunder GG 2016","Germany","Baden","Franz Keller",4.2,38,49,"2016"
"Eight Songs Shiraz 2013","Australia","Barossa","Peter Lehmann",3.8,131,35.09,"2013"
"Eight Songs Shiraz 2014","Australia","Barossa","Peter Lehmann",4.1,245,33.59,"2014"
"Eight Songs Shiraz 2015","Australia","Barossa","Peter Lehmann",4.1,91,28.42,"2015"
"Eight Years In The Desert 2018","United States","California","Orin Swift",4.4,2881,82.86,"2018"
"Einstern Pinot Noir 2015","Germany","Mosel","Markus Molitor",3.7,41,22.22,"2015"
"Einstern Pinot Noir 2016","Germany","Mosel","Markus Molitor",3.7,47,18.91,"2016"
"Einzelstück 2016","Germany","Pfalz","Schneider",4.4,30,29.5,"2016"
"El Abuelo de Piqueras Crianza 2017","Spain","Almansa","Bodegas Piqueras",4,66,6.75,"2017"
"El Abuelo de Piqueras Reserva 2016","Spain","Almansa","Bodegas Piqueras",4,170,7.95,"2016"
"El Abuelo Garnacha Tintorera 2018","Spain","Almansa","Bodegas Piqueras",4.1,369,7.45,"2018"
"El Abuelo Selección Edición Limitada 2013","Spain","Almansa","Bodegas Piqueras",4.2,101,10.95,"2013"
"El Andén de la Estación 2016","Spain","Rioja","Muga",4.1,87,11.21,"2016"
"El Carretil Rioja 2016","Spain","Rioja","Artadi",4.3,38,160.84,"2016"
"El Chaparral de Vega Sindoa Old Vines Garnacha 2017","Spain","Navarra","Bodegas Nekeas",3.9,241,11,"2017"
"El Chocolatero Cariñena 2014","Spain","Cariñena","San Valero",3.2,106,7.75,"2014"
"El Empecinado 2015","Spain","Ribera del Duero","Vega Real",4,439,20.76,"2015"
"El Héroe Garnacha Viñas Viejas 2016","Spain","Aragón","Baltasar Gracián",3.8,524,9.65,"2016"
"El Incidente Carménère 2017","Chile","Colchagua Valley","Viu Manent",4.3,88,53.61,"2017"
"El Niño de Campillo Rioja 2018","Spain","Rioja","Campillo",3.6,137,9.99,"2018"
"El Pacto 2016","Spain","Rioja","Hacienda López de Haro",3.9,838,9.9,"2016"
"El Pajaro Rojo Mencia 2018","Spain","Bierzo","Losada",4,306,9.08,"2018"
"El Picaro 2019","Spain","Toro","Matsu",3.9,935,7.35,"2019"
"El Politico Garnacha 2017","Spain","Calatayud","Baltasar Gracián",3.6,191,6.33,"2017"
"El Primer Paso 2018","Spain","Toro","Dominio del Bendito",4,339,11.6,"2018"
"El Puntido 2013","Spain","Rioja","Viñedos de Páganos",4.2,825,37.95,"2013"
"El Puntido Gran Reserva 2006","Spain","Rioja","Viñedos de Páganos",4.3,530,39.95,"2006"
"El Recio 2018","Spain","Toro","Matsu",4.1,137,12.2,"2018"
"El Rincón 2013","Spain","Dominio de Valdepusa","Marqués de Griñon",3.7,330,16.9,"2013"
"El Rincón 2014","Spain","Dominio de Valdepusa","Marqués de Griñon",3.7,218,18.5,"2014"
"El Rincón 2015","Spain","Dominio de Valdepusa","Marqués de Griñon",3.5,95,18.73,"2015"
"El Ruden 2017","Italy","Veneto","Astoria",3.9,84,12.99,"2017"
"El Terroir 2014","Spain","Navarra","Domaines Lupier",3.9,241,18.5,"2014"
"El Viaje de Ramón Tempranillo Rioja 2014","Spain","Rioja","Ramón Bilbao",3.6,307,10.49,"2014"
"El Viaje de Ramón Tempranillo Rioja 2018","Spain","Rioja","Ramón Bilbao",3.7,164,6.75,"2018"
"El Viejo 2017","Spain","Toro","Matsu",4.1,130,28.3,"2017"
"El Vuelo 2013","Spain","Castilla y León","Ermita del Conde",3.5,37,7.9,"2013"
"Eleanor Red Wine 2013","United States","California","Francis Ford Coppola",4.2,236,64.21,"2013"
"Eléonore Bordeaux Supérieur 2016","France","Bordeaux Supérieur","Château Lajarre",3.7,331,9.5,"2016"
"Elgin Pinot Noir 2016","South Africa","Elgin","Boschendal",3.7,178,33.99,"2016"
"Elio 2014","Italy","Veneto","Paolo Cottini",4.2,40,48.9,"2014"
"Elos Cabernet Sauvignon - Malbec 2009","Brazil","Encruzilhada do Sul","Lidio Carraro",3.4,277,29.19,"2009"
"Elos Cabernet Sauvignon - Malbec 2011","Brazil","Encruzilhada do Sul","Lidio Carraro",3.7,524,29.19,"2011"
"Elos Touriga Nacional - Tannat 2012","Brazil","Encruzilhada do Sul","Lidio Carraro",3.9,941,29.19,"2012"
"Eloy Escudero Crianza 2014","Spain","Ribera del Duero","Bodegas y Vinedos Escudero",3.7,115,12.43,"2014"
"Elpidios 2017","South Africa","Swartland","David & Nadia",3.9,62,34.15,"2017"
"Els Pics 2017","Spain","Priorat","Bodegas Mas Alta",4.1,631,15.11,"2017"
"Elysian Collection Merlot 2016","United States","California","Bonterra",3.8,106,26.7,"2016"
"Emeritvs (Emeritus) 1998","Spain","Dominio de Valdepusa","Marqués de Griñon",4.5,43,53.29,"1998"
"Emeritvs (Emeritus) 2011","Spain","Dominio de Valdepusa","Marqués de Griñon",4.2,155,68,"2011"
"Emilien 2015","France","Côtes de Bordeaux","Château le Puy",4,1106,39.9,"2015"
"Emilio Primo Rosso 2017","Italy","Bolgheri","Terre del Marchesato",3.7,229,22,"2017"
"Empordà Finca Malaveïna 2016","Spain","Empordà","Castillo Perelada",4.2,470,29.84,"2016"
"Empordà Gran Claustro 2012","Spain","Empordà","Castillo Perelada",4.1,63,37.92,"2012"
"En Sol Red 2015","France","Méditerranée","Domaine de la Tour du Bon",3.8,28,49.9,"2015"
"Encostas do Vale Godinho 2016","Portugal","Tejo","Alveirão",3.6,41,9.85,"2016"
"Endinger Engelsberg Spätburgunder Alte Reben 2015","Germany","Baden","Knab",3.6,50,17.49,"2015"
"Endinger Engelsberg Spätburgunder Trocken 2015","Germany","Baden","Knab",3.7,134,16.95,"2015"
"Endinger Engelsberg Spätburgunder Trocken 2016","Germany","Baden","Knab",3.6,190,11.21,"2016"
"Enemigo Mío Garnacha 2017","Spain","Vino de España","Casa Rojo",3.7,479,9.7,"2017"
"Enfant Sauvage 2017","France","Côtes Catalanes","Domaine Les Enfants Sauvages",3.7,135,16.47,"2017"
"Enira 2015","Bulgaria","Pazardjik","Bessa Valley",3.9,858,11.43,"2015"
"Enira Petit 2016","Bulgaria","Pazardjik","Bessa Valley",3.7,40,8.87,"2016"
"Entresuelos Tempranillo 2016","Spain","Castilla y León","Tridente",3.9,216,7.9,"2016"
"Envero Carmenère Gran Reserva 2017","Chile","Colchagua Valley","Apaltagua",3.8,1270,14.5,"2017"
"Envero Carmenère Gran Reserva 2018","Chile","Colchagua Valley","Apaltagua",3.7,262,14.5,"2018"
"Éo Noir 2014","Switzerland","Zürich","Staatskellerei Zürich",3.9,140,70.19,"2014"
"Eolithe 2017","France","Saumur","Château de Fosse-Sèche",3.9,135,23.29,"2017"
"EPU 2016","Chile","Puente Alto","Almaviva",4.5,709,46.34,"2016"
"Equinox Red (Organic) 2017","United States","California","Bonterra",3.6,246,16.95,"2017"
"ER Etna Rosso 2014","Italy","Etna","Theresa Eccher",3.9,88,19.44,"2014"
"Èrema 2016","Italy","Isola dei Nuraghi","Siddura",3.8,117,14.57,"2016"
"Eremo San Quirico 2016","Italy","Irpinia Campi Taurasini","Nativ",4.2,1232,17.45,"2016"
"Ermitage Ex-Voto 2012","France","Hermitage","E. Guigal",4.4,89,299,"2012"
"Ermitage l'Ermite 2000","France","Hermitage","M. Chapoutier",4.4,79,329.95,"2000"
"Ermitage l'Ermite 2004","France","Hermitage","M. Chapoutier",4.4,64,178.8,"2004"
"Ermitage Le Méal 2004","France","Hermitage","M. Chapoutier",4.4,69,104.95,"2004"
"Ermitage Le Pavillon 2000","France","Hermitage","M. Chapoutier",4.6,125,419.95,"2000"
"Erta e China Rosso di Toscana 2015","Italy","Toscana","Renzo Masi",3.9,100,7.45,"2015"
"Es Primitivo di Manduria 2016","Italy","Primitivo di Manduria","Gianfranco Fino",4.4,873,46.46,"2016"
"Esperado Shiraz - Malbec 2014","Argentina","Tulum Valley","Callia",3.3,215,7,"2014"
